"Response ID","Time Started","Date Submitted","Status","Contact ID","Legacy Comments","Comments","Language","Referer","SessionID","User Agent","Tags","IP Address","Longitude","Latitude","Country","City","State/Region","Postal","Access Log","communityBoardID","isDeleted","Policy Area","Need Group","Agency","Type","Need","Request","Dropdown Combinations","Dropdown Logic","Budget Request Title Please give your budget request a short and recognizable title that will allow it to be readily identified (ex. PS 41 Amenity Upgrade)","Continued Support:Please check the box below if you'd like to mark this request for Continued Support","Budget Request - Continued Support Checkbox Visibility","Explanation","Is this request specific to a particular site, location, or facility?","Address:Request Location (complete all that apply) For addresses, please select an option from the Address Search drop down where possible.","Site or Facility Name:Request Location (complete all that apply) For addresses, please select an option from the Address Search drop down where possible.","Facility Name:Request Location (complete all that apply) For addresses, please select an option from the Address Search drop down where possible.","Cross-Street 1 (for Street Segment):Request Location (complete all that apply) For addresses, please select an option from the Address Search drop down where possible.","Cross-Street 2 (for Street Segment):Request Location (complete all that apply) For addresses, please select an option from the Address Search drop down where possible.","address-search.js","On Street (Enter Street Name):Complete the following if your request is for a street segment","Cross Street 1:Complete the following if your request is for a street segment","Cross Street 2:Complete the following if your request is for a street segment","Side of Street (if only one-side):Complete the following if your request is for a street segment","Street Name:Complete the following if your request is for an intersection","Intersection - Street 1:Complete the following if your request is for an intersection","Intersection - Street 2:Complete the following if your request is for an intersection","Compass Direction (if streets intersect twice):Complete the following if your request is for an intersection","Supporter 1","Supporter 2","1:Would you like to upload any supporting documentation? (Up to 2 files, max. file size: 500KB)","2:Would you like to upload any supporting documentation? (Up to 2 files, max. file size: 500KB)","3:Would you like to upload any supporting documentation? (Up to 2 files, max. file size: 500KB)","4:Would you like to upload any supporting documentation? (Up to 2 files, max. file size: 500KB)","5:Would you like to upload any supporting documentation? (Up to 2 files, max. file size: 500KB)","6:Would you like to upload any supporting documentation? (Up to 2 files, max. file size: 500KB)","7:Would you like to upload any supporting documentation? (Up to 2 files, max. file size: 500KB)","8:Would you like to upload any supporting documentation? (Up to 2 files, max. file size: 500KB)","9:Would you like to upload any supporting documentation? (Up to 2 files, max. file size: 500KB)","10:Would you like to upload any supporting documentation? (Up to 2 files, max. file size: 500KB)","previousFYAgencyResponse","previousFYAgencyCategoryResponse","currentFYAgencyResponse","currentFYAgencyCategoryResponse","previousFYRanking","currentFYRanking","Previous Year ID","Current Year ID"
"6827","Aug 21, 2024 10:10:00 am","Aug 21, 2024 10:10:00 am","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724243443_66c5ddf331c382.31938130&ssoconfirmation=ZWppTUtGaDY3cWs1aThxN1poZHlhcmx0Vzk5eX53bG13d01ycVd2d2NpaHE4QVZ6UXVNZVB4VGRKTTY0MWNmeWVtc3VuT2NrdURIUmliVUtzTXVIemswYko0V09KRUlneWpBaUZpNjEwUVJLTHUzN2RXfnRXSnV3d0c3SlJmTkQzVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724249421_66c5f54d512630.55034868","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","QN2","","Health Care and Human Services","Needs for Homeless","Department for Homeless Services (DHS)","Capital","Facilities for the homeless","Upgrade existing facilities for the homeless","","","Upgrade existing facilities for the homeless","","","Provide fire safe charging for lithium-ion batteries used in micromobility devices in shelters throughout CB2.","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","","402202509C","7531899-6827-2026-QN2-C"
"6828","Aug 21, 2024 10:10:00 am","Aug 21, 2024 10:10:00 am","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724243443_66c5ddf331c382.31938130&ssoconfirmation=ZWppTUtGaDY3cWs1aThxN1poZHlhcmx0Vzk5eX53bG13d01ycVd2d2NpaHE4QVZ6UXVNZVB4VGRKTTY0MWNmeWVtc3VuT2NrdURIUmliVUtzTXVIemswYko0V09KRUlneWpBaUZpNjEwUVJLTHUzN2RXfnRXSnV3d0c3SlJmTkQzVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724249429_66c5f5555afc47.88347778","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","QN2","","Core Infrastructure, City Services, and Resiliency","Needs for Water, Sewers, and Environmental Protection","Department of Environmental Protection (DEP)","Expense","Environmental protection","Other expense budget request for DEP","","","Other expense budget request for DEP","","","Include regular water quality measurements including dissolved oxygen test, water temperature, salinity, PH Levels Turbidity, and  Bathymetric survey for waterfront projects. Water quality tests allow water quality to be measured as well as the depth of a water body and map the under water features This information is vital whether waterfront areas are suitable for maritime use or require remedial measures necessary to make it so.. ","No","","","","","","","","","","","","","","","","","","","","","","","","","","","Further study by the agency of this request is needed.","This request requires further study","","","9","","402202509E","7531899-6828-2026-QN2-E"
"6829","Aug 21, 2024 10:10:00 am","Aug 21, 2024 10:10:00 am","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724243443_66c5ddf331c382.31938130&ssoconfirmation=ZWppTUtGaDY3cWs1aThxN1poZHlhcmx0Vzk5eX53bG13d01ycVd2d2NpaHE4QVZ6UXVNZVB4VGRKTTY0MWNmeWVtc3VuT2NrdURIUmliVUtzTXVIemswYko0V09KRUlneWpBaUZpNjEwUVJLTHUzN2RXfnRXSnV3d0c3SlJmTkQzVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724249437_66c5f55d5ebd29.50476725","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","QN2","","Housing, Economic Development, and Land Use","Needs for Economic Development","Economic Development Corporation (EDC)","Capital","Economic development investments","Invest in infrastructure that will support growth in commercial business districts","","","Invest in infrastructure that will support growth in commercial business districts","","","Create an LIRR station at Sunnyside yards.","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","","402202510C","7531899-6829-2026-QN2-C"
"6830","Aug 21, 2024 10:10:00 am","Aug 21, 2024 10:10:00 am","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724243443_66c5ddf331c382.31938130&ssoconfirmation=ZWppTUtGaDY3cWs1aThxN1poZHlhcmx0Vzk5eX53bG13d01ycVd2d2NpaHE4QVZ6UXVNZVB4VGRKTTY0MWNmeWVtc3VuT2NrdURIUmliVUtzTXVIemswYko0V09KRUlneWpBaUZpNjEwUVJLTHUzN2RXfnRXSnV3d0c3SlJmTkQzVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724249445_66c5f56566ac76.89556278","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","QN2","","Other Needs","Other","Department of City Planning (DCP)","Expense","Other Expense Needs","Other expense request","","","Other expense request","","","Allocate funds to land use committee at CB2 to hire a 3rd party independent land use expert on certain rezoning. CB2 would like to work with the Dept of City Planning on a comprehensive rezoning study and to have consultant services assist with rezoning proposals. ","No","","","","","","","","","","","","","","","","","","","","","","","","","","","DCP does not have discretionary funding to allocate to this request. Please contact the DCP Borough Office for more information.","The agency does not/cannot give priority to funding this request","","","10","","402202510E","7531899-6830-2026-QN2-E"
"6831","Aug 21, 2024 10:11:00 am","Aug 21, 2024 10:11:00 am","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724243443_66c5ddf331c382.31938130&ssoconfirmation=ZWppTUtGaDY3cWs1aThxN1poZHlhcmx0Vzk5eX53bG13d01ycVd2d2NpaHE4QVZ6UXVNZVB4VGRKTTY0MWNmeWVtc3VuT2NrdURIUmliVUtzTXVIemswYko0V09KRUlneWpBaUZpNjEwUVJLTHUzN2RXfnRXSnV3d0c3SlJmTkQzVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724249461_66c5f57572d3c4.28227509","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","QN2","","Transportation and Mobility","Needs for Traffic and Transportation Infrastructure","Department of Transportation (DOT)","Capital","Transportation infrastructure","Repair or build new seawalls or bulkheads","","","Repair or build new seawalls or bulkheads","","","Fix collapsed bulkhead at 29th Street, Dutch Kills","No","","","","","","","","","","","","","","","LIC Roots, Newtown Creek Alliance, Blissville Civic Association","","","","","","","","","","","","Please contact the Borough Commissioner's office to discuss this request.","This request requires further study","","","11","","402202511C","7531899-6831-2026-QN2-C"
"6832","Aug 21, 2024 10:10:00 am","Aug 21, 2024 10:10:00 am","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724243443_66c5ddf331c382.31938130&ssoconfirmation=ZWppTUtGaDY3cWs1aThxN1poZHlhcmx0Vzk5eX53bG13d01ycVd2d2NpaHE4QVZ6UXVNZVB4VGRKTTY0MWNmeWVtc3VuT2NrdURIUmliVUtzTXVIemswYko0V09KRUlneWpBaUZpNjEwUVJLTHUzN2RXfnRXSnV3d0c3SlJmTkQzVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724249453_66c5f56d6eaa19.98538386","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","QN2","","Public Safety and Emergency Services","Needs for Public Safety","New York Police Department (NYPD)","Expense","NYPD staff and training resources","Hire additional uniformed officers","","","Hire additional uniformed officers","","","Create pilot program for the 108th precinct to engage in the community working in partnership with local community providers when situations warrant it. Expand on City Pilot as seen in Brooklyn, addressing individuals with a variety of mental illness not with just uniform police but with mental health professionals. Other engagements could be traffic safety design specialist to evaluation post crash scene investigations to propose improvements.. ","No","","","","","","","","","","","","","","","","","","","","","","","","","","","NYPD's total uniformed staffing levels depend on decisions made in the Preliminary and Executive Budget process.  Allocation of uniformed personnel is scheduled by the agency only after graduation of police classes from the Academy.","The agency supports this request, but funding is not available at this time","","","11","","402202511E","7531899-6832-2026-QN2-E"
"6833","Aug 21, 2024 10:11:00 am","Aug 21, 2024 10:11:00 am","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724243443_66c5ddf331c382.31938130&ssoconfirmation=ZWppTUtGaDY3cWs1aThxN1poZHlhcmx0Vzk5eX53bG13d01ycVd2d2NpaHE4QVZ6UXVNZVB4VGRKTTY0MWNmeWVtc3VuT2NrdURIUmliVUtzTXVIemswYko0V09KRUlneWpBaUZpNjEwUVJLTHUzN2RXfnRXSnV3d0c3SlJmTkQzVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724249469_66c5f57d78f597.12442275","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","QN2","","Transportation and Mobility","Needs for Traffic and Transportation Infrastructure","Department of Transportation (DOT)","Capital","Transportation infrastructure","Roadway maintenance (resurfacing, trench restoration, etc.)","","","Roadway maintenance (resurfacing, trench restoration, etc.)","","","Reconstruct Winfield Industrial Streets from 69th Street to 72nd Drive, Queens Boulevard to Maurice Avenue. Repair or construct new streets, sidewalks, curbs, medians, pedestrian ramps or bus pads to prevent chronic and hazardous flooding.","No","","","","","","","","","","","","","","","","","","","","","","","","","","","Please contact the Borough Commissioner with the specific location(s) of concern.","The agency requires additional information from the community board regarding this request","","","12","","402202512C","7531899-6833-2026-QN2-C"
"6834","Aug 21, 2024 10:11:00 am","Aug 21, 2024 10:11:00 am","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724243443_66c5ddf331c382.31938130&ssoconfirmation=ZWppTUtGaDY3cWs1aThxN1poZHlhcmx0Vzk5eX53bG13d01ycVd2d2NpaHE4QVZ6UXVNZVB4VGRKTTY0MWNmeWVtc3VuT2NrdURIUmliVUtzTXVIemswYko0V09KRUlneWpBaUZpNjEwUVJLTHUzN2RXfnRXSnV3d0c3SlJmTkQzVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724249477_66c5f5858012a8.67982392","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","QN2","","Parks, Cultural, and Other Community Facilities","Needs for Parks","Department of Parks and Recreation (DPR)","Expense","Park maintenance and safety","Provide better park maintenance","","","Provide better park maintenance","","","Increase maintenance within all parks throughout the CB 2 district, in particular in Woodside at Crosson Green Park (Woodside  / 69th), Steinman Triangle, Green space at 39th and 59th Street, and Green space at 41st Avenue at 66th Street. COVID-19 has increased the use of outdoor spaced and stressed resources of local parks staff. ","No","","","","","","","","","","","","","",""," Woodside on the move","","","","","","","","","","","","The agency recommends funding this expense budget request in FY 2024, but at this time the availability of funds is uncertain.","The agency agrees with this request, but funding cannot be determined at this time","","","12","","402202512E","7531899-6834-2026-QN2-E"
"6835","Aug 21, 2024 10:11:00 am","Aug 21, 2024 10:11:00 am","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724243443_66c5ddf331c382.31938130&ssoconfirmation=ZWppTUtGaDY3cWs1aThxN1poZHlhcmx0Vzk5eX53bG13d01ycVd2d2NpaHE4QVZ6UXVNZVB4VGRKTTY0MWNmeWVtc3VuT2NrdURIUmliVUtzTXVIemswYko0V09KRUlneWpBaUZpNjEwUVJLTHUzN2RXfnRXSnV3d0c3SlJmTkQzVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724249485_66c5f58d896362.60426083","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","QN2","","Core Infrastructure, City Services, and Resiliency","Needs for Water, Sewers, and Environmental Protection","Department of Environmental Protection (DEP)","Capital","Sewage and flooding","Evaluate a public location or property for green infrastructure, e.g. rain gardens, stormwater greenstreets, green playgrounds","","","Evaluate a public location or property for green infrastructure, e.g. rain gardens, stormwater greenstreets, green playgrounds","","","Request funds to create a bioswale on the east side of dutch kills turning basin at 29th Street.","No","","","","","","","","","","","","","","","","","","","","","","","","","","","Further study by the agency of this request is needed.","This request requires further study","","","13","","402202513C","7531899-6835-2026-QN2-C"
"6836","Aug 21, 2024 10:11:00 am","Aug 21, 2024 10:11:00 am","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724243443_66c5ddf331c382.31938130&ssoconfirmation=ZWppTUtGaDY3cWs1aThxN1poZHlhcmx0Vzk5eX53bG13d01ycVd2d2NpaHE4QVZ6UXVNZVB4VGRKTTY0MWNmeWVtc3VuT2NrdURIUmliVUtzTXVIemswYko0V09KRUlneWpBaUZpNjEwUVJLTHUzN2RXfnRXSnV3d0c3SlJmTkQzVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724249493_66c5f5958f6d42.50125503","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","QN2","","Parks, Cultural, and Other Community Facilities","Needs for Parks","Department of Parks and Recreation (DPR)","Expense","Park maintenance and safety","Provide better park maintenance","","","Provide better park maintenance","","","Continue to support funds for six month seasonal associates and six month playground associates for CB 2 parks and playgrounds.","No","","","","","","","","","","","","","","","","","","","","","","","","","","","The agency recommends funding this expense budget request in FY 2024, but at this time the availability of funds is uncertain.","The agency agrees with this request, but funding cannot be determined at this time","","","13","","402202513E","7531899-6836-2026-QN2-E"
"6837","Aug 21, 2024 10:11:00 am","Aug 21, 2024 10:11:00 am","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724243443_66c5ddf331c382.31938130&ssoconfirmation=ZWppTUtGaDY3cWs1aThxN1poZHlhcmx0Vzk5eX53bG13d01ycVd2d2NpaHE4QVZ6UXVNZVB4VGRKTTY0MWNmeWVtc3VuT2NrdURIUmliVUtzTXVIemswYko0V09KRUlneWpBaUZpNjEwUVJLTHUzN2RXfnRXSnV3d0c3SlJmTkQzVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724249501_66c5f59d970e21.92401994","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","QN2","","Parks, Cultural, and Other Community Facilities","Needs for Parks","Department of Parks and Recreation (DPR)","Capital","Park, buildings, and access improvements","Provide a new or expanded park or amenity (i.e. playground, outdoor athletic field)","","","Provide a new or expanded park or amenity (i.e. playground, outdoor athletic field)","","","Conduct a study for a new park, south of 47th Avenue in Sunnyside","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","","402202514C","7531899-6837-2026-QN2-C"
"6838","Aug 21, 2024 10:11:00 am","Aug 21, 2024 10:11:00 am","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724243443_66c5ddf331c382.31938130&ssoconfirmation=ZWppTUtGaDY3cWs1aThxN1poZHlhcmx0Vzk5eX53bG13d01ycVd2d2NpaHE4QVZ6UXVNZVB4VGRKTTY0MWNmeWVtc3VuT2NrdURIUmliVUtzTXVIemswYko0V09KRUlneWpBaUZpNjEwUVJLTHUzN2RXfnRXSnV3d0c3SlJmTkQzVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724249509_66c5f5a59fd6e6.90389878","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","QN2","","Parks, Cultural, and Other Community Facilities","Needs for Parks","Department of Parks and Recreation (DPR)","Expense","Park maintenance and safety","Provide better park maintenance","","","Provide better park maintenance","","","Horticulture maintenance program - funding for this program will provide staffing to maintain park landscapes, gardens, lawns and other horticultural amenities.","No","","","","","","","","","","","","","","","","","","","","","","","","","","","The agency recommends funding this expense budget request in FY 2024, but at this time the availability of funds is uncertain.","The agency agrees with this request, but funding cannot be determined at this time","","","14","","402202514E","7531899-6838-2026-QN2-E"
"6839","Aug 21, 2024 10:11:00 am","Aug 21, 2024 10:12:00 am","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724243443_66c5ddf331c382.31938130&ssoconfirmation=ZWppTUtGaDY3cWs1aThxN1poZHlhcmx0Vzk5eX53bG13d01ycVd2d2NpaHE4QVZ6UXVNZVB4VGRKTTY0MWNmeWVtc3VuT2NrdURIUmliVUtzTXVIemswYko0V09KRUlneWpBaUZpNjEwUVJLTHUzN2RXfnRXSnV3d0c3SlJmTkQzVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724249517_66c5f5ada19c45.68954853","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","QN2","","Core Infrastructure, City Services, and Resiliency","Needs for Water, Sewers, and Environmental Protection","Department of Environmental Protection (DEP)","Capital","Sewage and flooding","Evaluate a public location or property for green infrastructure, e.g. rain gardens, stormwater greenstreets, green playgrounds","","","Evaluate a public location or property for green infrastructure, e.g. rain gardens, stormwater greenstreets, green playgrounds","","","Provide funding for green infrastructure for a bioswale at Bradley Avenue, between Borden Ave and Van Dam Street.","Yes","","Van Dam Triangle","","","","","","","","","","","","","","","","","","","","","","","","","Further study by the agency of this request is needed.","This request requires further study","","","15","","402202515C","7531899-6839-2026-QN2-C"
"6840","Aug 21, 2024 10:12:00 am","Aug 21, 2024 10:12:00 am","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724243443_66c5ddf331c382.31938130&ssoconfirmation=ZWppTUtGaDY3cWs1aThxN1poZHlhcmx0Vzk5eX53bG13d01ycVd2d2NpaHE4QVZ6UXVNZVB4VGRKTTY0MWNmeWVtc3VuT2NrdURIUmliVUtzTXVIemswYko0V09KRUlneWpBaUZpNjEwUVJLTHUzN2RXfnRXSnV3d0c3SlJmTkQzVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724249525_66c5f5b5a78ec5.12767227","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","QN2","","Housing, Economic Development, and Land Use","Needs for Land Use","Department of City Planning (DCP)","Expense","Zoning and land use","Study land use and zoning to better match current use or future neighborhood needs","","","Study land use and zoning to better match current use or future neighborhood needs","","","Study use of public land and public assets for reuse as a cultural and recreation centers, with focus on resiliency and sustainability.  ","No","","","","","","","","","","","","","","","","","","","","","","","","","","","This request has been accommodated by an external entity.","The agency supports this request, but funding is not available at this time","","","15","","402202515E","7531899-6840-2026-QN2-E"
"6841","Aug 21, 2024 10:12:00 am","Aug 21, 2024 10:12:00 am","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724243443_66c5ddf331c382.31938130&ssoconfirmation=ZWppTUtGaDY3cWs1aThxN1poZHlhcmx0Vzk5eX53bG13d01ycVd2d2NpaHE4QVZ6UXVNZVB4VGRKTTY0MWNmeWVtc3VuT2NrdURIUmliVUtzTXVIemswYko0V09KRUlneWpBaUZpNjEwUVJLTHUzN2RXfnRXSnV3d0c3SlJmTkQzVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724249533_66c5f5bdb38158.04472690","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","QN2","","Parks, Cultural, and Other Community Facilities","Needs for Library Services","Queens Library (QL)","Capital","Library facilities, equipment and programs","Create a new, or renovate or upgrade an existing public library","","","Create a new, or renovate or upgrade an existing public library","","","Relocate and reopen the Court Square Library","No","","","","","","","","","","","","","","","","","","","","","","","","","","","QBPL is actively looking for location space.","The agency agrees with this request, will accommodate","","","16","","402202516C","7531899-6841-2026-QN2-C"
"6842","Aug 21, 2024 10:12:00 am","Aug 21, 2024 10:12:00 am","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724243443_66c5ddf331c382.31938130&ssoconfirmation=ZWppTUtGaDY3cWs1aThxN1poZHlhcmx0Vzk5eX53bG13d01ycVd2d2NpaHE4QVZ6UXVNZVB4VGRKTTY0MWNmeWVtc3VuT2NrdURIUmliVUtzTXVIemswYko0V09KRUlneWpBaUZpNjEwUVJLTHUzN2RXfnRXSnV3d0c3SlJmTkQzVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724249541_66c5f5c5b49c18.50778772","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","QN2","","Parks, Cultural, and Other Community Facilities","Needs for Parks","Department of Parks and Recreation (DPR)","Expense","Park maintenance and safety","Other park maintenance and safety requests","","","Other park maintenance and safety requests","","","Increasing hours that park bathrooms are publicly available.","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","","402202516E","7531899-6842-2026-QN2-E"
"6843","Aug 21, 2024 10:12:00 am","Aug 21, 2024 10:12:00 am","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724243443_66c5ddf331c382.31938130&ssoconfirmation=ZWppTUtGaDY3cWs1aThxN1poZHlhcmx0Vzk5eX53bG13d01ycVd2d2NpaHE4QVZ6UXVNZVB4VGRKTTY0MWNmeWVtc3VuT2NrdURIUmliVUtzTXVIemswYko0V09KRUlneWpBaUZpNjEwUVJLTHUzN2RXfnRXSnV3d0c3SlJmTkQzVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724249549_66c5f5cdbba4c5.82608409","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","QN2","","Health Care and Human Services","Needs for Health Care and Facilities","Health and Hospitals Corporation (HHC)","Capital","Health care facilities","Provide a new or expanded health care facility","","","Provide a new or expanded health care facility","","","Comprehensive women's health services via Elmhurst Hospital include a birthing center","No","","","","","","","","","","","","","","","","","","","","","","","","","","","The agency will accommodate this issue within existing resources.","This request has already been funded.","","","17","","402202517C","7531899-6843-2026-QN2-C"
